"","year","title","author","journal","number","cites","pubid"
"27",2019,"Evidence for an association of gut microbial Clostridia with brain functional connectivity and gastrointestinal sensorimotor function in patients with irritable bowel syndrome …","JS Labus, V Osadchiy, EY Hsiao, J Tap, M Derrien, A Gupta, K Tillisch, ...","Microbiome","7, 1-15",115,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:H7nrzBkawXsC"
"28",2019,"Effects of the long-term storage of human fecal microbiota samples collected in RNAlater","J Tap, S Cools-Portier, S Pavan, A Druesne, L Öhman, H Törnblom, ...","Scientific reports","9 (1), 601",56,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:bVQMTfhMCi4C"
"29",2019,"Fasting breath H2 and gut microbiota metabolic potential are associated with the response to a fermented milk product in irritable bowel syndrome","B Le Nevé, M Derrien, J Tap, R Brazeilles, S Cools Portier, D Guyonnet, ...","PLoS One","14 (4), e0214273",20,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:rOcdG6UcVlcC"
"30",2019,"Effects of a Flatulogenic Diet Combined with a Fermented Milk Product on Markers of Flatulence and Intestinal Microbiome Composition in Healthy Subjects","AM de la Torre, B Le Nevé, J Tap, A Cotillard, M Pozuelo, FPB del Río, ...","Gastroenterology","156 (6), S221-S221",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:KTwcwpFFj4wC"
"31",2019,"Gut microbiome hysteresis is associated with durable mucosal alterations","J Tap, S Burz, A Cotillard, J Cadiou, HM Blottiere, J Dore, P Veiga, ...","","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:ukw-9cB-YDkC"
"32",2019,"Alternative stable states of a holobiont: the intestinal microbiota-host relationship.","M Van De Guchte, S Burz, J Tap, J Cadiou, J Wu, A Cotillard, C Mayeur, ...","","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:Y9VhQm-5nPIC"
"33",2018,"Altered intestinal antibacterial gene expression response profile in irritable bowel syndrome is linked to bacterial composition and immune activation","SMP Bennet, J Sundin, MK Magnusson, H Strid, J Tap, M Derrien, ...","Neurogastroenterology & Motility","30 (12), e13468",21,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:Y0-TYkg6YM4C"
"34",2018,"Fecal chromogranins and secretogranins are linked to the fecal and mucosal intestinal bacterial composition of IBS patients and healthy subjects","J Sundin, M Stridsberg, J Tap, M Derrien, B Le Nevé, J Doré, H Törnblom, ...","Scientific Reports","8 (1), 16821",16,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:RMgMIBzvq-4C"
"35",2018,"Mo1942-Association Between Dietary Habits and the Gut Metagenome in Irritable Bowel Syndrome","J Tap, M Derrien, B Le Nevé, L Ohman, H Törnblom, S Störsrud, M Simren","Gastroenterology","154 (6), S-859",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:L24QuVWYgZ0C"
"36",2018,"Mikrobielle Biomarker zur Krebsfrüherkennung","AY Voigt, G Zeller, P Bork","TumorDiagnostik & Therapie","39 (01), 55-62",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:yIeBiWEAh44C"
"37",2017,"Identification of an intestinal microbiota signature associated with severity of irritable bowel syndrome","J Tap, M Derrien, H Törnblom, R Brazeilles, S Cools-Portier, J Doré, ...","Gastroenterology","152 (1), 111-123. e8",666,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:wUn16MOA3RoC"
"38",2017,"Faecal microbiota study reveals specific dysbiosis in spondyloarthritis","M Breban, J Tap, A Leboime, R Said-Nahal, P Langella, G Chiocchia, ...","Annals of the rheumatic diseases","76 (9), 1614-1622",373,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:Azgs6IHzeyYC"
"39",2017,"Clostridia from the gut microbiome are associated with brain functional connectivity and evoked symptoms in IBS","JS Labus, E Hsiao, J Tap, M Derrien, A Gupta, B Le Nevé, R Brazeilles, ...","Gastroenterology","152 (5), S40",9,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:KS-xo-ZNxMsC"
"40",2017,"Prediction of the intestinal resistome by a novel 3D-based method","E Ruppé, A Ghozlane, J Tap, N Pons, AS Alvarez, N Maziers, T Cuesta, ...","bioRxiv","196014",4,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:rCNdntzdTkkC"
"41",2017,"Granins are linked to bacterial richness, innate immunity, markers for intestinal permeability and symptom severity IBS patients","J Sundin, J Tap, M Derrien, B Le Neve, M Stridsberg, H Tornblom, ...","Neurogastroenterology And Motility","29, 21-21",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:gV6rEsy15s0C"
"42",2017,"Mikrobielle Signatur für Patienten mit Reizdarmsyndrom","M Hofmann-Aßmus","Zeitschrift für Gastroenterologie","55 (04), 342-342",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:4n0clTBhZ78C"
"43",2016,"Lactulose challenge determines visceral sensitivity and severity of symptoms in patients with irritable bowel syndrome","B Le Nevé, R Brazeilles, M Derrien, J Tap, D Guyonnet, L Ohman, ...","Clinical Gastroenterology and Hepatology","14 (2), 226-233. e3",47,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:wLxue7F8ec0C"
"44",2016,"Microbiote intestinal, la clé pour une meilleure alimentation?","P Veiga, J Tap, M Derrien","médecine/sciences","32 (11), 999-1002",3,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:9DLIHnF0jcYC"
"45",2016,"Early Phenotypical Changes induced By Transfert of Human Fecal Microbiota from Colorectal Cancer Patients to Germ-Free Mice","J Tap, A Amiot, V Jarrousse, S Guilmeau, J Tran VanNhieu, P Langella, ...","International Journal of Cancer and Oncology","4 (1), 1-11",1,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:In6cVmBjs0IC"
"46",2016,"Tripartite network analysis links symptoms to the gut microbiome brain axis in irritable bowel syndrome","JS Labus, K Tillisch, J Tap, M Derrien, A Gupta, B Leneve, R Brazeilles, ...","Neurogastroenterology And Motility","28, 30-30",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:iyewoVqAXLQC"
"47",2016,"NEW INSIGHTS ON RELATIONSHIPS BETWEEN FODMAPS INTAKE, GUT MICROBIOTA AND SEVERITY OF SYMPTOMS IN IRRITABLE BOWEL SYNDROME","J Tap, M Derrien, H Törnblom, N Pons, S Cools-Portier, J Doré, B Le Neve, ...","","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:uAPFzskPt0AC"
"48",2016,"Metagenomics exploration of the gut microbiome in irritable bowel syndrome","J Tap","","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:MDX3w3dAD3YC"
"49",2016,"It's all in the mix: diagnosis and management of food intolerance reply","B Le Neve, R Brazeilles, M Derrien, J Tap, D Guyonnet, L Ohman, ...","Clinical Gastroenterology and Hepatology","14 (8), 1222-1223",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:tz746QTLzJkC"
"50",2015,"Gut microbiota richness promotes its stability upon increased dietary fibre intake in healthy adults","J Tap, JP Furet, M Bensaada, C Philippe, H Roth, S Rabot, O Lakhdari, ...","Environmental microbiology","17 (12), 4954-4964",398,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:ijdKiLOsEJMC"
"51",2015,"Metagenomics of the human intestinal tract: from who is there to what is done there","A Cultrone, J Tap, N Lapaque, J Doré, HM Blottière","Current Opinion in Food Science","4, 64-68",21,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:OzeSX8-yOCQC"
"52",2015,"The gut microbiota for health experts exchange: an online network for sharing knowledge","P Enck, K Campbell, J Tap, PY Arnoux, JM Antoine","The FASEB Journal","29, 909.4",1,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:jmjb1lOE9QIC"
"53",2015,"Identification of a Gut Microbial Signature Linked to Severity of Irritable Bowel Syndrome","J Tap, L Ohman, H Törnblom, B Le Nevé, R Brazeilles, J Doré, M Derrien, ...","< bound method Organization. get_name_with_acronym of< Organization: INRAE …","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:dAp6zn-oMfAC"
"54",2015,"Le microbiote intestinal comme marqueur potentiel du cancer colorectal","J Tap, G Zeller, AY Voigt, A Amiot, J van Nhieu, P Schrotz-King, M Kloor, ...","","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:q0uBw5dMOAkC"
"55",2014,"An integrated catalog of reference genes in the human gut microbiome","J Li, H Jia, X Cai, H Zhong, Q Feng, S Sunagawa, M Arumugam, ...","Nature biotechnology","32 (8), 834-841",2242,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:cBPnxVikjH8C"
"56",2014,"Potential of fecal microbiota for early‐stage detection of colorectal cancer","G Zeller, J Tap, AY Voigt, S Sunagawa, JR Kultima, PI Costea, A Amiot, ...","Molecular systems biology","10 (11), 766",1185,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:pQTOvowfQioC"
"57",2014,"Identification and assembly of genomes and genetic elements in complex metagenomic samples without using reference genomes","HB Nielsen, M Almeida, AS Juncker, S Rasmussen, J Li, S Sunagawa, ...","Nature biotechnology","32 (8), 822-828",1157,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:kNdYIx-mwKoC"
"58",2014,"Individuality and temporal stability of the human gut microbiome","S Sunagawa, S Schloissnig, M Arumugam, K Forslund, M Mitreva, J Tap, ...","Central Asian Journal of Global Health","2 (Suppl), 120",7,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:MXK_kJrjxJIC"
"59",2014,"Gut Microbiota Variations Correlate with Disease Activity in Spondyloarthritis (SpA) and Rheumatoid Arthritis (RA).","J Tap, J Abou-Ghantous, A Leboime, RS Nahal, P Langella, HJ Garchon, ...","ARTHRITIS & RHEUMATOLOGY","66, S273-S273",1,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:c59VksA5Vz4C"
"60",2014,"Method for diagnosing adenomas and/or colorectal cancer (CRC) based on analyzing the gut microbiome","P Bork, J Tap, G Zeller, A Voigt, JR Kultima, PI Costea, D Mende, ...","EP Patent EP","P2955232A1",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:6ZzL7HXColQC"
"61",2014,"Procédé de diagnostic d'adénomes et/ou du cancer colorectal (CRC) basé sur l'analyse du microbiome intestinal","P Bork, J Tap, G Zeller, AY Voigt, JR Kultima, PI Costea, D Mende, ...","","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:DQNrXyjhriIC"
"62",2013,"Richness of human gut microbiome correlates with metabolic markers","E Le Chatelier, T Nielsen, J Qin, E Prifti, F Hildebrand, G Falony, ...","Nature","500 (7464), 541-546",5111,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:hqOjcs7Dif8C"
"63",2013,"Genomic variation landscape of the human gut microbiome","S Schloissnig, M Arumugam, S Sunagawa, M Mitreva, J Tap, A Zhu, ...","Nature","493 (7430), 45-50",994,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:W7OEmFMy1HYC"
"64",2013,"Metagenomic species profiling using universal phylogenetic marker genes","S Sunagawa, DR Mende, G Zeller, F Izquierdo-Carrasco, SA Berger, ...","Nature methods","10 (12), 1196-1199",536,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:0EnyYjriUFMC"
"65",2013,"Gut microbiota after gastric bypass in human obesity: increased richness and associations of bacterial genera with adipose tissue genes","LC Kong, J Tap, J Aron-Wisnewsky, V Pelloux, A Basdevant, JL Bouillot, ...","The American journal of clinical nutrition","98 (1), 16-24",476,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:_FxGoFyzp5QC"
"66",2013,"Genomic analysis of smooth tubercle bacilli provides insights into ancestry and pathoadaptation of Mycobacterium tuberculosis","P Supply, M Marceau, S Mangenot, D Roche, C Rouanet, V Khanna, ...","Nature genetics","45 (2), 172-179",362,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:YsMSGLbcyi4C"
"67",2013,"Gut microbiota after gastric bypass in human obesity: increased richness and associations of bacterial genera with adipose tissue genes.","KLC Kong LingChun, J Tap, J Aron-Wisnewsky, V Pelloux, A Basdevant, ...","","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:lK9BDNCuzFgC"
"68",2011,"Enterotypes of the human gut microbiome","M Arumugam, J Raes, E Pelletier, D Le Paslier, T Yamada, DR Mende, ...","nature","473 (7346), 174-180",8781,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:d1gkVwhDpl0C"
"69",2011,"Microbial dysbiosis in colorectal cancer (CRC) patients","I Sobhani, J Tap, F Roudot-Thoraval, JP Roperch, S Letulle, P Langella, ...","PloS one","6 (1), e16393",1029,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:IjCSPb-OGe4C"
"70",2011,"Identification of NF‐κB Modulation Capabilities within Human Intestinal Commensal Bacteria","O Lakhdari, J Tap, F Béguet-Crespel, K Le Roux, T De Wouters, ...","BioMed Research International","2011 (1), 282356",100,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:Tyk-4Ss8FVUC"
"71",2011,"Research Article Identification of NF-κB Modulation Capabilities within Human Intestinal Commensal Bacteria","O Lakhdari, J Tap, F Béguet-Crespel, K Le Roux, T de Wouters, ...","","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:I858iXPj1OkC"
"72",2010,"A human gut microbial gene catalogue established by metagenomic sequencing","J Qin, R Li, J Raes, M Arumugam, KS Burgdorf, C Manichanh, T Nielsen, ...","nature","464 (7285), 59-65",13833,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:u5HHmVD_uO8C"
"73",2010,"Differential adaptation of human gut microbiota to bariatric surgery–induced weight loss: links with metabolic and low-grade inflammation markers","JP Furet, LC Kong, J Tap, C Poitou, A Basdevant, JL Bouillot, D Mariat, ...","Diabetes","59 (12), 3049-3057",1517,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:2osOgNQ5qMEC"
"74",2010,"Functional metagenomics to mine the human gut microbiome for dietary fiber catabolic enzymes","L Tasse, J Bercovici, S Pizzut-Serin, P Robe, J Tap, C Klopp, BL Cantarel, ...","Genome research","20 (11), 1605-1612",287,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:qjMakFHDy7sC"
"75",2010,"Functional metagenomics: a high throughput screening method to decipher microbiota-driven NF-κB modulation in the human gut","O Lakhdari, A Cultrone, J Tap, K Gloux, F Bernard, SD Ehrlich, F Lefevre, ...","PloS one","5 (9), e13092",112,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:UeHWp8X0CEIC"
